21,Sault Ste Marie Airport
27,Baie Comeau Airport
28,CFB Bagotville
33,Nanaimo Airport
34,Castlegar/West Kootenay Regional Airport
39,Chilliwack Airport
51,Estevan Airport
57,Forestville Airport
61,Kingston Norman Rogers Airport
70,John C. Munro Hamilton International Airport
71,Montréal / Saint-Hubert Airport
74,Atikokan Municipal Airport
76,St Jean Airport
79,Waterloo Airport
82,Buttonville Municipal Airport
83,Chapleau Airport
92,Maniwaki Airport
93,Montreal International (Mirabel) Airport
95,Ottawa / Gatineau Airport
100,Ottawa Macdonald-Cartier International Airport
104,Pitt Meadows Airport
107,Peterborough Airport
110,Muskoka Airport
111,Quebec Jean Lesage International Airport
113,Windsor Airport
121,Thunder Bay Airport
129,Rivière-du-Loup Airport
130,Roberval Airport
133,Sudbury Airport
134,Sherbrooke Airport
142,CFB Trenton
143,Timmins/Victor M. Power
144,Billy Bishop Toronto City Centre Airport
146,Montreal / Pierre Elliott Trudeau International Airport
149,Rouyn Noranda Airport
153,Val-d'Or Airport
156,Vancouver International Airport
158,Wiarton Airport
159,Petawawa Airport
171,Earlton (Timiskaming Regional) Airport
174,London Airport
175,Abbotsford Airport
177,North Bay Jack Garland Airport
184,Victoria International Airport
192,Mont Joli Airport
193,Lester B. Pearson International Airport
194,Downsview Airport
195,Gore Bay Manitoulin Airport
199,Chris Hadfield Airport
1784,Del Norte International Airport
1788,Ciudad Acuña New International Airport
1790,Nuevo Casas Grandes Airport
1792,Bachigualato Federal International Airport
1794,Ciudad Obregón International Airport
1796,Abraham González International Airport
1797,General Roberto Fierro Villalobos International Airport
1803,Ensenada International Airport
1805,General José María Yáñez International Airport
1807,General Ignacio P. Garcia International Airport
1810,Plan De Guadalupe International Airport
1814,Valle del Fuerte International Airport
1817,Loreto International Airport
1818,General Servando Canales International Airport
1820,General Rodolfo Sánchez Taboada International Airport
1823,Monclova International Airport
1825,General Mariano Escobedo International Airport
1827,Nogales International Airport
1828,Quetzalcóatl International Airport
1833,Mar de Cortés International Airport
1834,Piedras Negras International Airport
1839,General Lucio Blanco International Airport
1841,San Felipe International Airport
1845,Francisco Sarabia International Airport
1847,General Abelardo L. Rodríguez International Airport
1928,Andros Town Airport
1930,Leonard M Thompson International Airport
1931,San Andros Airport
1933,Sandy Point Airport
1934,Treasure Cay Airport
1935,Chub Cay Airport
1936,Great Harbour Cay Airport
1937,South Bimini Airport
1943,North Eleuthera Airport
1944,Governor's Harbour Airport
1945,Normans Cay Airport
1946,Rock Sound Airport
1948,Grand Bahama International Airport
1953,Lynden Pindling International Airport
